server_name,environment,region,timestamp,cpu_usage,memory_usage,query_time_ms,active_connections,status
DB-PROD-01,Production,us-east-1,2024-06-01 00:00:00,49.93,52.93,65.84,198,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 00:00:00,16.04,87.12,5.27,97,Warning
DB-STAGE-01,Staging,eu-central-1,2024-06-01 00:00:00,22.3,48.82,52.62,62,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 00:00:00,28.38,47.12,10.13,67,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 00:15:00,5.0,69.26,17.21,68,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 00:15:00,29.36,53.24,182.01,24,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 00:15:00,69.31,51.61,11.14,64,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 00:15:00,39.51,60.33,98.28,144,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 00:30:00,27.99,69.21,5.14,93,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 00:30:00,55.58,38.48,47.08,17,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 00:30:00,56.45,36.69,18.68,143,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 00:30:00,46.46,34.1,1.59,155,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 00:45:00,44.37,68.23,127.47,199,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 00:45:00,19.82,31.25,15.83,62,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 00:45:00,49.22,56.29,46.7,50,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 00:45:00,23.13,47.3,0.79,18,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 01:00:00,26.46,64.18,0.28,148,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 01:00:00,52.73,41.4,78.07,132,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 01:00:00,35.86,45.65,6.16,144,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 01:00:00,36.64,72.47,5.01,160,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 01:15:00,64.24,73.5,44.74,44,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 01:15:00,19.24,53.86,62.46,10,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 01:15:00,21.32,66.76,14.79,36,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 01:15:00,5.0,67.33,1.29,188,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 01:30:00,41.74,50.51,18.87,105,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 01:30:00,24.36,61.36,46.37,152,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 01:30:00,24.21,66.16,4.01,196,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 01:30:00,54.1,60.41,48.96,71,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 01:45:00,58.31,59.93,81.4,53,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 01:45:00,59.25,51.85,19.6,101,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 01:45:00,54.48,51.16,15.88,36,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 01:45:00,65.47,50.62,98.57,112,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 02:00:00,42.54,36.26,33.16,60,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 02:00:00,21.86,42.74,9.21,169,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 02:00:00,77.72,57.62,22.6,195,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 02:00:00,5.0,54.6,16.76,90,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 02:15:00,31.16,53.74,21.16,138,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 02:15:00,28.51,48.68,33.61,169,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 02:15:00,83.17,73.48,4.22,193,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 02:15:00,55.82,41.36,22.93,125,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 02:30:00,39.09,58.25,84.76,153,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 02:30:00,30.13,68.85,10.32,102,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 02:30:00,31.67,67.86,12.44,99,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 02:30:00,8.99,56.03,51.81,61,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 02:45:00,37.13,64.26,36.46,113,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 02:45:00,32.23,41.72,6.02,160,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 02:45:00,77.45,60.95,12.97,153,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 02:45:00,44.55,74.61,37.71,11,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 03:00:00,60.01,57.29,10.46,108,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 03:00:00,56.32,62.08,97.01,63,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 03:00:00,52.35,73.26,4.39,173,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 03:00:00,44.53,67.71,0.46,108,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 03:15:00,37.14,25.98,29.75,198,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 03:15:00,54.69,40.68,13.54,30,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 03:15:00,30.75,38.31,68.16,154,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 03:15:00,48.36,26.7,35.55,128,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 03:30:00,50.79,32.53,192.91,60,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 03:30:00,45.53,67.41,79.19,39,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 03:30:00,67.29,72.58,99.82,70,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 03:30:00,95.0,54.53,73.17,26,Critical
DB-PROD-01,Production,us-east-1,2024-06-01 03:45:00,39.77,57.86,16.39,15,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 03:45:00,37.52,66.11,170.04,108,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 03:45:00,21.01,46.05,15.63,76,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 03:45:00,44.28,36.31,137.56,67,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 04:00:00,52.7,38.8,22.21,136,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 04:00:00,61.15,55.77,67.5,170,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 04:00:00,48.37,44.08,40.24,179,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 04:00:00,50.3,62.71,100.9,22,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 04:15:00,16.33,62.42,3.68,153,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 04:15:00,41.37,48.86,28.85,95,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 04:15:00,21.73,48.17,200.43,159,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 04:15:00,31.71,56.2,1.9,79,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 04:30:00,47.09,26.8,19.77,17,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 04:30:00,25.69,65.19,48.76,15,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 04:30:00,40.91,45.23,38.9,64,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 04:30:00,37.86,47.71,28.42,67,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 04:45:00,24.56,79.92,9.52,10,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 04:45:00,9.02,49.85,4.93,98,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 04:45:00,14.78,68.77,154.91,78,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 04:45:00,13.46,82.66,14.23,153,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 05:00:00,26.4,51.05,4.94,103,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 05:00:00,48.88,66.62,32.14,185,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 05:00:00,29.01,71.45,31.24,110,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 05:00:00,72.65,33.55,50.41,43,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 05:15:00,40.04,66.34,38.76,13,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 05:15:00,51.36,57.22,144.35,137,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 05:15:00,63.45,62.97,56.53,172,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 05:15:00,27.7,86.67,39.44,110,Warning
DB-PROD-01,Production,us-east-1,2024-06-01 05:30:00,62.74,61.7,52.7,52,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 05:30:00,45.62,45.66,3.69,17,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 05:30:00,71.1,40.28,20.82,124,Warning
DB-QA-01,QA,ap-south-1,2024-06-01 05:30:00,27.56,49.67,59.66,84,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 05:45:00,47.24,63.72,81.35,173,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 05:45:00,51.03,44.35,82.21,186,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 05:45:00,27.7,60.74,14.39,105,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 05:45:00,50.94,51.97,97.74,122,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 06:00:00,62.89,67.87,13.61,39,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 06:00:00,40.24,68.96,87.57,95,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 06:00:00,28.21,50.53,2.75,198,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 06:00:00,46.48,53.05,150.4,92,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 06:15:00,22.93,54.79,4.81,149,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 06:15:00,64.1,37.05,69.79,160,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 06:15:00,33.15,58.74,133.63,195,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 06:15:00,41.52,44.84,29.13,84,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 06:30:00,52.28,75.37,5.33,16,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 06:30:00,11.21,49.25,25.26,36,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 06:30:00,30.58,58.48,4.43,92,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 06:30:00,61.21,58.56,106.16,154,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 06:45:00,26.72,75.4,4.36,198,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 06:45:00,69.57,41.81,14.3,28,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 06:45:00,39.62,39.96,0.57,135,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 06:45:00,46.45,42.59,68.53,101,Healthy
DB-PROD-01,Production,us-east-1,2024-06-01 07:00:00,37.82,61.03,16.82,65,Healthy
DB-PROD-02,Production,us-west-2,2024-06-01 07:00:00,5.0,72.14,81.0,182,Healthy
DB-STAGE-01,Staging,eu-central-1,2024-06-01 07:00:00,41.39,69.75,247.84,173,Healthy
DB-QA-01,QA,ap-south-1,2024-06-01 07:00:00,49.47,55.82,37.02,58,Healthy
